id,score,price,stock_counter,candidate,status,stop_loss,next_3_months,type,value,growth,momentum,vgm,rank,last_updated
FE,"
7.66
",$35.56 ,FE - FirstEnergy Corporation,Strong Buy Candidate,Unchanged, $34.12 (-4.04%),,top buy,,,,,,
VOD,"
7.63
",$18.98 ,VOD - Vodafone Group Plc,Strong Buy Candidate,Upgraded, $18.32 (-3.50%),9.58%,top buy,,,,,,
GDEN,"
7.59
",$30.03 ,GDEN - Golden Entertainment,Strong Buy Candidate,Upgraded, $29.00 (-3.44%),28.94%,top buy,,,,,,
AVXL,"
7.56
",$16.13 ,AVXL - Anavex Life Sciences Corp.,Strong Buy Candidate,Unchanged, $15.56 (-3.56%),122.52%,top buy,,,,,,
FTDR,"
7.54
",$56.43 ,FTDR - frontdoor Inc.,Strong Buy Candidate,Upgraded, $53.83 (-4.60%),8.71%,top buy,,,,,,
IFN,"
7.49
",$21.92 ,IFN - India Fund Inc (The),Strong Buy Candidate,Unchanged, $21.00 (-4.19%),$22.04,top buy,,,,,,
IHIT,"
7.46
",$9.31 ,IHIT - Invesco High Income 2023 Target Term Fund of Beneficial Interest,Strong Buy Candidate,Unchanged,$8.88(-4.67%),10.43%,top buy,,,,,,
MYGN,"
7.40
",$31.60 ,MYGN - Myriad Genetics,Strong Buy Candidate,Upgraded, $30.39 (-3.84%),56.84%,top buy,,,,,,
SOLY,"
7.37
",$17.52 ,SOLY - Soliton Inc.,Strong Buy Candidate,Unchanged, $16.99 (-3.00%),,top buy,,,,,,
ICHR,"
7.29
",$48.43 ,ICHR - Ichor Holdings,Strong Buy Candidate,Upgraded, $46.50 (-3.98%),46.4%,top buy,,,,,,
FWONK,"
7.19
",$47.86 ,FWONK - Liberty Media Corporation Series C,Strong Buy Candidate,Unchanged, $45.80 (-4.30%),$48.06,top buy,,,,,,
CQP,"
7.11
",$44.13 ,CQP - Cheniere Energy Partners LP.,Strong Buy Candidate,Upgraded, $42.55 (-3.58%),24.55%,top buy,,,,,,
DS,"
7.06
",$3.36 ,DS - Drive Shack Inc.,Strong Buy Candidate,Upgraded, $3.24 (-3.54%),$3.24,top buy,,,,,,
FRA,"
7.03
",$13.05 ,FRA - Blackrock Floating Rate Income Strategies Fund Inc,Strong Buy Candidate,Upgraded, $12.50 (-4.24%),8.51%,top buy,,,,,,
NXST,"
7.00
",$158.60 ,NXST - Nexstar Broadcasting Group,Strong Buy Candidate,Unchanged, $152.89 (-3.60%),,top buy,,,,,,
ECHO,"
6.99
",$33.52 ,ECHO - Echo Global Logistics,Strong Buy Candidate,Upgraded, $32.40 (-3.34%),,top buy,,,,,,
XPER,"
6.94
",$24.39 ,XPER - Tessera Holding Corp,Strong Buy Candidate,Unchanged, $23.65 (-3.02%),,top buy,,,,,,
OLN,"
6.91
",$35.48 ,OLN - Olin Corporation,Strong Buy Candidate,Unchanged, $34.14 (-3.78%),,top buy,,,,,,
INFY,"
6.89
",$19.33 ,INFY - Infosys Limited,Strong Buy Candidate,Unchanged,$18.63(-3.62%),8.41%,top buy,,,,,,
CSU,"
8.37
",$45.18 ,CSU - Capital Senior Living Corporation,Strong Buy Candidate,Upgraded, $43.50 (-3.72%),112.33%,top buy,,,,,,
MHLD,"
7.91
",$3.17 ,MHLD - Maiden Holdings,Strong Buy Candidate,Unchanged, $3.07 (-3.26%),,top buy,,,,,,
DESP,"
7.91
",$16.95 ,DESP - Despegar.com Corp,Strong Buy Candidate,Unchanged, $16.33 (-3.68%),13.19%,top buy,,,,,,
ATEC,"
7.89
",$17.36 ,ATEC - Alphatec Holdings,Strong Buy Candidate,Unchanged, $16.78 (-3.34%),$17.40,top buy,,,,,,
FOR,"
7.85
",$23.48 ,FOR - Forestar Group Inc,Strong Buy Candidate,Upgraded, $22.63 (-3.61%),9.81%,top buy,,,,,,
KE,"
7.75
",$28.43 ,KE - Kimball Electronics,Strong Buy Candidate,Upgraded, $27.37 (-3.72%),$28.79,top buy,,,,,,
FE,"
7.66
",$35.56 ,FE - FirstEnergy Corporation,Strong Buy Candidate,Unchanged, $34.12 (-4.04%),,top buy,,,,,,
VOD,"
7.63
",$18.98 ,VOD - Vodafone Group Plc,Strong Buy Candidate,Upgraded, $18.32 (-3.50%),9.58%,top buy,,,,,,
GDEN,"
7.59
",$30.03 ,GDEN - Golden Entertainment,Strong Buy Candidate,Upgraded, $29.00 (-3.44%),28.94%,top buy,,,,,,
AVXL,"
7.56
",$16.13 ,AVXL - Anavex Life Sciences Corp.,Strong Buy Candidate,Unchanged, $15.56 (-3.56%),122.52%,top buy,,,,,,
FTDR,"
7.54
",$56.43 ,FTDR - frontdoor Inc.,Strong Buy Candidate,Upgraded, $53.83 (-4.60%),8.71%,top buy,,,,,,
IFN,"
7.49
",$21.92 ,IFN - India Fund Inc (The),Strong Buy Candidate,Unchanged, $21.00 (-4.19%),$22.04,top buy,,,,,,
IHIT,"
7.46
",$9.31 ,IHIT - Invesco High Income 2023 Target Term Fund of Beneficial Interest,Strong Buy Candidate,Unchanged,$8.88(-4.67%),10.43%,top buy,,,,,,
MYGN,"
7.40
",$31.60 ,MYGN - Myriad Genetics,Strong Buy Candidate,Upgraded, $30.39 (-3.84%),56.84%,top buy,,,,,,
SOLY,"
7.37
",$17.52 ,SOLY - Soliton Inc.,Strong Buy Candidate,Unchanged, $16.99 (-3.00%),,top buy,,,,,,
ICHR,"
7.29
",$48.43 ,ICHR - Ichor Holdings,Strong Buy Candidate,Upgraded, $46.50 (-3.98%),46.4%,top buy,,,,,,
FWONK,"
7.19
",$47.86 ,FWONK - Liberty Media Corporation Series C,Strong Buy Candidate,Unchanged, $45.80 (-4.30%),$48.06,top buy,,,,,,
CQP,"
7.11
",$44.13 ,CQP - Cheniere Energy Partners LP.,Strong Buy Candidate,Upgraded, $42.55 (-3.58%),24.55%,top buy,,,,,,
DS,"
7.06
",$3.36 ,DS - Drive Shack Inc.,Strong Buy Candidate,Upgraded, $3.24 (-3.54%),$3.24,top buy,,,,,,
FRA,"
7.03
",$13.05 ,FRA - Blackrock Floating Rate Income Strategies Fund Inc,Strong Buy Candidate,Upgraded, $12.50 (-4.24%),8.51%,top buy,,,,,,
NXST,"
7.00
",$158.60 ,NXST - Nexstar Broadcasting Group,Strong Buy Candidate,Unchanged, $152.89 (-3.60%),,top buy,,,,,,
ECHO,"
6.99
",$33.52 ,ECHO - Echo Global Logistics,Strong Buy Candidate,Upgraded, $32.40 (-3.34%),,top buy,,,,,,
XPER,"
6.94
",$24.39 ,XPER - Tessera Holding Corp,Strong Buy Candidate,Unchanged, $23.65 (-3.02%),,top buy,,,,,,
OLN,"
6.91
",$35.48 ,OLN - Olin Corporation,Strong Buy Candidate,Unchanged, $34.14 (-3.78%),,top buy,,,,,,
INFY,"
6.89
",$19.33 ,INFY - Infosys Limited,Strong Buy Candidate,Unchanged,$18.63(-3.62%),8.41%,top buy,,,,,,
CSU,"
8.37
",$45.18 ,CSU - Capital Senior Living Corporation,Strong Buy Candidate,Upgraded, $43.50 (-3.72%),112.33%,top buy,,,,,,
MHLD,"
7.91
",$3.17 ,MHLD - Maiden Holdings,Strong Buy Candidate,Unchanged, $3.07 (-3.26%),,top buy,,,,,,
DESP,"
7.91
",$16.95 ,DESP - Despegar.com Corp,Strong Buy Candidate,Unchanged, $16.33 (-3.68%),13.19%,top buy,,,,,,
ATEC,"
7.89
",$17.36 ,ATEC - Alphatec Holdings,Strong Buy Candidate,Unchanged, $16.78 (-3.34%),$17.40,top buy,,,,,,
FOR,"
7.85
",$23.48 ,FOR - Forestar Group Inc,Strong Buy Candidate,Upgraded, $22.63 (-3.61%),9.81%,top buy,,,,,,
KE,"
7.75
",$28.43 ,KE - Kimball Electronics,Strong Buy Candidate,Upgraded, $27.37 (-3.72%),$28.79,top buy,,,,,,
FE,"
7.66
",$35.56 ,FE - FirstEnergy Corporation,Strong Buy Candidate,Unchanged, $34.12 (-4.04%),,top buy,,,,,,
VOD,"
7.63
",$18.98 ,VOD - Vodafone Group Plc,Strong Buy Candidate,Upgraded, $18.32 (-3.50%),9.58%,top buy,,,,,,
GDEN,"
7.59
",$30.03 ,GDEN - Golden Entertainment,Strong Buy Candidate,Upgraded, $29.00 (-3.44%),28.94%,top buy,,,,,,
AVXL,"
7.56
",$16.13 ,AVXL - Anavex Life Sciences Corp.,Strong Buy Candidate,Unchanged, $15.56 (-3.56%),122.52%,top buy,,,,,,
FTDR,"
7.54
",$56.43 ,FTDR - frontdoor Inc.,Strong Buy Candidate,Upgraded, $53.83 (-4.60%),8.71%,top buy,,,,,,
IFN,"
7.49
",$21.92 ,IFN - India Fund Inc (The),Strong Buy Candidate,Unchanged, $21.00 (-4.19%),$22.04,top buy,,,,,,
IHIT,"
7.46
",$9.31 ,IHIT - Invesco High Income 2023 Target Term Fund of Beneficial Interest,Strong Buy Candidate,Unchanged,$8.88(-4.67%),10.43%,top buy,,,,,,
MYGN,"
7.40
",$31.60 ,MYGN - Myriad Genetics,Strong Buy Candidate,Upgraded, $30.39 (-3.84%),56.84%,top buy,,,,,,
SOLY,"
7.37
",$17.52 ,SOLY - Soliton Inc.,Strong Buy Candidate,Unchanged, $16.99 (-3.00%),,top buy,,,,,,
ICHR,"
 7.29
",$48.43 ,ICHR - Ichor Holdings,Strong Buy Candidate,Upgraded, $46.50 (-3.98%),46.4%,top buy,,,,,,
FWONK,"
7.19
",$47.86 ,FWONK - Liberty Media Corporation Series C,Strong Buy Candidate,Unchanged, $45.80 (-4.30%),$48.06,top buy,,,,,,
CQP,"
7.11
",$44.13 ,CQP - Cheniere Energy Partners LP.,Strong Buy Candidate,Upgraded, $42.55 (-3.58%),24.55%,top buy,,,,,,
DS,"
7.06
",$3.36 ,DS - Drive Shack Inc.,Strong Buy Candidate,Upgraded, $3.24 (-3.54%),$3.24,top buy,,,,,,
FRA,"
7.03
",$13.05 ,FRA - Blackrock Floating Rate Income Strategies Fund Inc,Strong Buy Candidate,Upgraded, $12.50 (-4.24%),8.51%,top buy,,,,,,
NXST,"
7.00
",$158.60 ,NXST - Nexstar Broadcasting Group,Strong Buy Candidate,Unchanged, $152.89 (-3.60%),,top buy,,,,,,
ECHO,"
6.99
",$33.52 ,ECHO - Echo Global Logistics,Strong Buy Candidate,Upgraded, $32.40 (-3.34%),,top buy,,,,,,
XPER,"
6.94
",$24.39 ,XPER - Tessera Holding Corp,Strong Buy Candidate,Unchanged, $23.65 (-3.02%),,top buy,,,,,,
OLN,"
6.91
",$35.48 ,OLN - Olin Corporation,Strong Buy Candidate,Unchanged, $34.14 (-3.78%),,top buy,,,,,,
INFY,"
6.89
",$19.33 ,INFY - Infosys Limited,Strong Buy Candidate,Unchanged,$18.63(-3.62%),8.41%,top buy,,,,,,
HPR,"
-7.09
",$5.41 ,HPR - HighPoint Resources Corp.,Strong Sell Candidate,Unchanged,NA,,top sell,,,,,,
ALVR,"
-7.08
",$28.69 ,"ALVR - AlloVir, Inc.",Strong Sell Candidate,Unchanged,NA,-18.14%,top sell,,,,,,
RIDE,"
-6.98
",$15.22 ,RIDE - Lordstown Motors Corp.,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.80%,top sell,,,,,,
DPHC,"
-6.98
",$15.22 ,DPHC - DiamondPeak Holdings Corp. Class A,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.82%,top sell,,,,,,
AGRX,"
-6.89
",$2.07 ,AGRX - Agile Therapeutics,Strong Sell Candidate,Downgraded,NA,-10.45%,top sell,,,,,,
JE,"
-6.75
",$1.68 ,JE - Just Energy Group Inc,Strong Sell Candidate,Unchanged,NA,-18.91%,top sell,,,,,,
WNW,"
-6.71
",$10.86 ,WNW - Wunong Net Technology Company Limited,Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
SGTX,"
-6.66
",$26.04 ,"SGTX - Sigilon Therapeutics, Inc.",Strong Sell Candidate,Downgraded,NA,-24.13%,top sell,,,,,,
GLSI,"
-6.56
",$28.70 ,"GLSI - Greenwich LifeSciences, Inc.",Strong Sell Candidate,Downgraded,NA,-19.10%,top sell,,,,,,
EDU,"
-6.53
",$17.06 ,EDU - New Oriental Education & Technology Group Inc,Strong Sell Candidate,Unchanged,NA,-15.27%,top sell,,,,,,
ROOT,"
-6.51
",$11.22 ,ROOT - Root Inc,Strong Sell Candidate,Unchanged,NA,-19.06%,top sell,,,,,,
NYC,"
-6.41
",$8.67 ,"NYC - New York City REIT, Inc.",Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
CHPT,"
-6.38
",$24.70 ,CHPT - Chargepoint Holdings Inc.,Strong Sell Candidate,Unchanged,NA,-32.35%,top sell,,,,,,
SBE,"
-6.38
",$24.70 ,SBE - Switchback Energy Acquisition Corporation,Strong Sell Candidate,Unchanged,NA,-32.35%,top sell,,,,,,
DPW,"
-6.17
",$3.57 ,"DPW - DPW Holdings, Inc.",Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
FF,"
-6.10
",$15.06 ,FF - FutureFuel Corp,Strong Sell Candidate,Downgraded,NA,23.8%,top sell,,,,,,
TCRR,"
-6.08
",$26.19 ,TCRR - TCR2 Therapeutics Inc.,Strong Sell Candidate,Downgraded,NA,-14.98%,top sell,,,,,,
HPK,"
-6.01
",$6.64 ,"HPK - HighPeak Energy, Inc.",Strong Sell Candidate,Downgraded,NA,-41.31%,top sell,,,,,,
VMD,"
-6.00
",$9.61 ,VMD - Viemed Healthcare Inc,Strong Sell Candidate,Downgraded,NA,29.82%,top sell,,,,,,
ACAM,"
-5.92
",$8.45 ,ACAM - Acamar Partners Acquisition Corp. Class A,Strong Sell Candidate,Downgraded,NA,-21.47%,top sell,,,,,,
LOTZ,"
-5.92
",$8.45 ,"LOTZ - CarLotz, Inc.",Strong Sell Candidate,Downgraded,NA,-21.44%,top sell,,,,,,
MAC,"
-5.91
",$13.45 ,MAC - Macerich Company (The),Strong Sell Candidate,Downgraded,NA,11.77%,top sell,,,,,,
ASPS,"
-5.88
",$8.97 ,ASPS - Altisource Portfolio Solutions S.A.,Strong Sell Candidate,Downgraded,NA,-31.43%,top sell,,,,,,
FTEK,"
-5.87
",$3.46 ,FTEK - Fuel Tech,Strong Sell Candidate,Downgraded,NA,-18.49%,top sell,,,,,,
QUAD,"
-5.84
",$5.19 ,QUAD - Quad Graphics Inc,Strong Sell Candidate,Downgraded,NA,37.85%,top sell,,,,,,
HPR,"
-7.09
",$5.41 ,HPR - HighPoint Resources Corp.,Strong Sell Candidate,Unchanged,NA,,top sell,,,,,,
ALVR,"
-7.08
",$28.69 ,"ALVR - AlloVir, Inc.",Strong Sell Candidate,Unchanged,NA,-18.14%,top sell,,,,,,
RIDE,"
-6.98
",$15.22 ,RIDE - Lordstown Motors Corp.,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.80%,top sell,,,,,,
DPHC,"
-6.98
",$15.22 ,DPHC - DiamondPeak Holdings Corp. Class A,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.82%,top sell,,,,,,
AGRX,"
-6.89
",$2.07 ,AGRX - Agile Therapeutics,Strong Sell Candidate,Downgraded,NA,-10.45%,top sell,,,,,,
JE,"
-6.75
",$1.68 ,JE - Just Energy Group Inc,Strong Sell Candidate,Unchanged,NA,-18.91%,top sell,,,,,,
WNW,"
-6.71
",$10.86 ,WNW - Wunong Net Technology Company Limited,Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
SGTX,"
-6.66
",$26.04 ,"SGTX - Sigilon Therapeutics, Inc.",Strong Sell Candidate,Downgraded,NA,-24.13%,top sell,,,,,,
GLSI,"
-6.56
",$28.70 ,"GLSI - Greenwich LifeSciences, Inc.",Strong Sell Candidate,Downgraded,NA,-19.10%,top sell,,,,,,
EDU,"
-6.53
",$17.06 ,EDU - New Oriental Education & Technology Group Inc,Strong Sell Candidate,Unchanged,NA,-15.27%,top sell,,,,,,
ROOT,"
-6.51
",$11.22 ,ROOT - Root Inc,Strong Sell Candidate,Unchanged,NA,-19.06%,top sell,,,,,,
NYC,"
-6.41
",$8.67 ,"NYC - New York City REIT, Inc.",Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
CHPT,"
-6.38
",$24.70 ,CHPT - Chargepoint Holdings Inc.,Strong Sell Candidate,Unchanged,NA,-32.35%,top sell,,,,,,
SBE,"
-6.38
",$24.70 ,SBE - Switchback Energy Acquisition Corporation,Strong Sell Candidate,Unchanged,NA,-32.35%,top sell,,,,,,
DPW,"
-6.17
",$3.57 ,"DPW - DPW Holdings, Inc.",Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
FF,"
-6.10
",$15.06 ,FF - FutureFuel Corp,Strong Sell Candidate,Downgraded,NA,23.8%,top sell,,,,,,
TCRR,"
-6.08
",$26.19 ,TCRR - TCR2 Therapeutics Inc.,Strong Sell Candidate,Downgraded,NA,-14.98%,top sell,,,,,,
HPK,"
-6.01
",$6.64 ,"HPK - HighPeak Energy, Inc.",Strong Sell Candidate,Downgraded,NA,-41.31%,top sell,,,,,,
VMD,"
-6.00
",$9.61 ,VMD - Viemed Healthcare Inc,Strong Sell Candidate,Downgraded,NA,29.82%,top sell,,,,,,
ACAM,"
-5.92
",$8.45 ,ACAM - Acamar Partners Acquisition Corp. Class A,Strong Sell Candidate,Downgraded,NA,-21.47%,top sell,,,,,,
LOTZ,"
-5.92
",$8.45 ,"LOTZ - CarLotz, Inc.",Strong Sell Candidate,Downgraded,NA,-21.44%,top sell,,,,,,
MAC,"
-5.91
",$13.45 ,MAC - Macerich Company (The),Strong Sell Candidate,Downgraded,NA,11.77%,top sell,,,,,,
ASPS,"
-5.88
",$8.97 ,ASPS - Altisource Portfolio Solutions S.A.,Strong Sell Candidate,Downgraded,NA,-31.43%,top sell,,,,,,
FTEK,"
-5.87
",$3.46 ,FTEK - Fuel Tech,Strong Sell Candidate,Downgraded,NA,-18.49%,top sell,,,,,,
QUAD,"
-5.84
",$5.19 ,QUAD - Quad Graphics Inc,Strong Sell Candidate,Downgraded,NA,37.85%,top sell,,,,,,
HPR,"
-7.09
",$5.41 ,HPR - HighPoint Resources Corp.,Strong Sell Candidate,Unchanged,NA,,top sell,,,,,,
ALVR,"
-7.08
",$28.69 ,"ALVR - AlloVir, Inc.",Strong Sell Candidate,Unchanged,NA,-18.14%,top sell,,,,,,
RIDE,"
-6.98
",$15.22 ,RIDE - Lordstown Motors Corp.,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.80%,top sell,,,,,,
DPHC,"
-6.98
",$15.22 ,DPHC - DiamondPeak Holdings Corp. Class A,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.82%,top sell,,,,,,
AGRX,"
-6.89
",$2.07 ,AGRX - Agile Therapeutics,Strong Sell Candidate,Downgraded,NA,-10.45%,top sell,,,,,,
JE,"
-6.75
",$1.68 ,JE - Just Energy Group Inc,Strong Sell Candidate,Unchanged,NA,-18.91%,top sell,,,,,,
WNW,"
-6.71
",$10.86 ,WNW - Wunong Net Technology Company Limited,Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
SGTX,"
-6.66
",$26.04 ,"SGTX - Sigilon Therapeutics, Inc.",Strong Sell Candidate,Downgraded,NA,-24.13%,top sell,,,,,,
GLSI,"
-6.56
",$28.70 ,"GLSI - Greenwich LifeSciences, Inc.",Strong Sell Candidate,Downgraded,NA,-19.10%,top sell,,,,,,
EDU,"
-6.53
",$17.06 ,EDU - New Oriental Education & Technology Group Inc,Strong Sell Candidate,Unchanged,NA,-15.27%,top sell,,,,,,
ROOT,"
-6.51
",$11.22 ,ROOT - Root Inc,Strong Sell Candidate,Unchanged,NA,-19.06%,top sell,,,,,,
NYC,"
-6.41
",$8.67 ,"NYC - New York City REIT, Inc.",Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
CHPT,"
-6.38
",$24.70 ,CHPT - Chargepoint Holdings Inc.,Strong Sell Candidate,Unchanged,NA,-32.35%,top sell,,,,,,
SBE,"
-6.38
",$24.70 ,SBE - Switchback Energy Acquisition Corporation,Strong Sell Candidate,Unchanged,NA,-32.35%,top sell,,,,,,
DPW,"
-6.17
",$3.57 ,"DPW - DPW Holdings, Inc.",Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
FF,"
-6.10
",$15.06 ,FF - FutureFuel Corp,Strong Sell Candidate,Downgraded,NA,23.8%,top sell,,,,,,
TCRR,"
-6.08
",$26.19 ,TCRR - TCR2 Therapeutics Inc.,Strong Sell Candidate,Downgraded,NA,-14.98%,top sell,,,,,,
HPK,"
-6.01
",$6.64 ,"HPK - HighPeak Energy, Inc.",Strong Sell Candidate,Downgraded,NA,-41.31%,top sell,,,,,,
VMD,"
-6.00
",$9.61 ,VMD - Viemed Healthcare Inc,Strong Sell Candidate,Downgraded,NA,29.82%,top sell,,,,,,
ACAM,"
-5.92
",$8.45 ,ACAM - Acamar Partners Acquisition Corp. Class A,Strong Sell Candidate,Downgraded,NA,-21.47%,top sell,,,,,,
LOTZ,"
-5.92
",$8.45 ,"LOTZ - CarLotz, Inc.",Strong Sell Candidate,Downgraded,NA,-21.44%,top sell,,,,,,
MAC,"
-5.91
",$13.45 ,MAC - Macerich Company (The),Strong Sell Candidate,Downgraded,NA,11.77%,top sell,,,,,,
ASPS,"
-5.88
",$8.97 ,ASPS - Altisource Portfolio Solutions S.A.,Strong Sell Candidate,Downgraded,NA,-31.43%,top sell,,,,,,
FTEK,"
-5.87
",$3.46 ,FTEK - Fuel Tech,Strong Sell Candidate,Downgraded,NA,-18.49%,top sell,,,,,,
QUAD,"
-5.84
",$5.19 ,QUAD - Quad Graphics Inc,Strong Sell Candidate,Downgraded,NA,37.85%,top sell,,,,,,
HPR,"
-7.09
",$5.41 ,HPR - HighPoint Resources Corp.,Strong Sell Candidate,Unchanged,NA,,top sell,,,,,,
ALVR,"
-7.08
",$28.69 ,"ALVR - AlloVir, Inc.",Strong Sell Candidate,Unchanged,NA,-18.14%,top sell,,,,,,
RIDE,"
-6.98
",$15.22 ,RIDE - Lordstown Motors Corp.,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.80%,top sell,,,,,,
DPHC,"
-6.98
",$15.22 ,DPHC - DiamondPeak Holdings Corp. Class A,Strong Sell Candidate,Downgraded,Golden Star Signal*,-10.82%,top sell,,,,,,
AGRX,"
-6.89
",$2.07 ,AGRX - Agile Therapeutics,Strong Sell Candidate,Downgraded,NA,-10.45%,top sell,,,,,,
JE,"
-6.75
",$1.68 ,JE - Just Energy Group Inc,Strong Sell Candidate,Unchanged,NA,-18.91%,top sell,,,,,,
WNW,"
-6.71
",$10.86 ,WNW - Wunong Net Technology Company Limited,Strong Sell Candidate,Downgraded,NA,,top sell,,,,,,
SGTX,"
-6.66
",$26.04 ,"SGTX - Sigilon Therapeutics, Inc.",Strong Sell Candidate,Downgraded,NA,-24.13%,top sell,,,,,,
